year,date,survey_day,nlanes,reach
2004,2004-07-15,2,3,6
2004,2004-07-15,2,3,7
2004,2004-07-15,2,3,8
2005,2005-07-13,1,3,1
2005,2005-07-13,1,3,2
2005,2005-07-13,1,3,3
2005,2005-07-13,1,3,4
2005,2005-07-14,2,3,1
2005,2005-07-14,2,3,2
2005,2005-07-14,2,3,3
2005,2005-07-14,2,3,4
2005,2005-07-15,3,3,1
2005,2005-07-15,3,3,2
2005,2005-07-15,3,3,3
2005,2005-07-15,3,3,4
2005,2005-07-14,2,3,5
2005,2005-07-14,2,3,6
2005,2005-07-14,2,3,7
2005,2005-07-14,2,3,8
2006,2006-07-18,1,3,1
2006,2006-07-18,1,3,2
2006,2006-07-18,1,3,3
2006,2006-07-18,1,3,4
2006,2006-07-19,2,3,1
2006,2006-07-19,2,3,2
2006,2006-07-19,2,3,3
2006,2006-07-19,2,3,4
2006,2006-07-20,3,3,1
2006,2006-07-20,3,3,2
2006,2006-07-20,3,3,3
2006,2006-07-20,3,3,4
2006,2006-07-19,2,3,5
2006,2006-07-19,2,3,6
2006,2006-07-19,2,3,7
2006,2006-07-19,2,3,8
2007,2007-08-14,1,3,1
2007,2007-08-14,1,3,2
2007,2007-08-14,1,3,3
2007,2007-08-14,1,3,4
2007,2007-08-15,2,3,1
2007,2007-08-15,2,3,2
2007,2007-08-15,2,3,3
2007,2007-08-15,2,3,4
2007,2007-08-16,3,3,1
2007,2007-08-16,3,3,2
2007,2007-08-16,3,3,3
2007,2007-08-16,3,3,4
2007,2007-08-15,2,3,5
2007,2007-08-15,2,3,6
2007,2007-08-15,2,3,7
2007,2007-08-15,2,3,8
2008,2008-07-23,1,3,1
2008,2008-07-23,1,3,2
2008,2008-07-23,1,3,3
2008,2008-07-23,1,3,4
2008,2008-07-24,2,3,1
2008,2008-07-24,2,3,2
2008,2008-07-24,2,3,3
2008,2008-07-24,2,3,4
2008,2008-07-25,3,3,1
2008,2008-07-25,3,3,2
2008,2008-07-25,3,3,3
2008,2008-07-25,3,3,4
2008,2008-07-24,2,3,5
