year,date,survey_day,size_class,count
2016,2016-07-14,2,30-50cm,419
2016,2016-07-14,2,50+cm,62
2016,2016-07-15,3,0-30cm,265
2016,2016-07-15,3,30-50cm,296
2016,2016-07-15,3,50+cm,36
2017,2017-07-24,1,0-30cm,371
2017,2017-07-24,1,30-50cm,481
2017,2017-07-24,1,50+cm,19
2017,2017-07-25,2,0-30cm,361
2017,2017-07-25,2,30-50cm,380
2017,2017-07-25,2,50+cm,9
2017,2017-07-26,3,0-30cm,403
2017,2017-07-26,3,30-50cm,464
2017,2017-07-26,3,50+cm,9
2018,2018-07-30,1,0-30cm,171
2018,2018-07-30,1,30-50cm,251
2018,2018-07-30,1,50+cm,14
2018,2018-07-31,2,0-30cm,543
2018,2018-07-31,2,30-50cm,463
2018,2018-07-31,2,50+cm,20
2019,2019-07-16,1,0-30cm,100
2019,2019-07-16,1,30-50cm,181
2019,2019-07-16,1,50+cm,27
2019,2019-07-17,2,0-30cm,261
2019,2019-07-17,2,30-50cm,372
2019,2019-07-17,2,50+cm,28
2019,2019-07-18,3,0-30cm,107
2019,2019-07-18,3,30-50cm,168
2019,2019-07-18,3,50+cm,35
2020,2020-07-29,1,0-30cm,132
2020,2020-07-29,1,30-50cm,182
2020,2020-07-29,1,50+cm,11
2020,2020-07-30,2,0-30cm,249
2020,2020-07-30,2,30-50cm,331
2020,2020-07-30,2,50+cm,18
2021,2021-07-20,1,0-30cm,94
2021,2021-07-20,1,30-50cm,162
2021,2021-07-20,1,50+cm,10
2021,2021-07-21,2,0-30cm,224
2021,2021-07-21,2,30-50cm,293
2021,2021-07-21,2,50+cm,23
2021,2021-07-22,3,0-30cm,118
2021,2021-07-22,3,30-50cm,181
2021,2021-07-22,3,50+cm,24
2022,2022-08-08,1,0-30cm,157
2022,2022-08-08,1,30-50cm,194
2022,2022-08-08,1,50+cm,10
2022,2022-08-09,2,0-30cm,247
2022,2022-08-09,2,30-50cm,367
2022,2022-08-09,2,50+cm,16
2022,2022-08-10,3,0-30cm,133
2022,2022-08-10,3,30-50cm,214
2022,2022-08-10,3,50+cm,13
